Nr. Crt;Categorie;Compania;Brand;Denumirea promotiei;Data Start;Data Sfarsit;Durata zile;Durata luni;Slogan;Mecanism;Tip promotie;Validare; Valoare Premii ;Premii;Masina;Excursie;Instant;Zilnice;Saptamanale/ Lunare;La sfarsit de campanie;SMS;Website;APP;Facebook;Whatsapp;Clip YOUTUBE;Instagram;;
282;Food;EDENRED ROMÂNIA S.R.L;EdenRed;Cardul Edenred Ticket Restaurant te scoate la masa”;15.07.2021;29.09.2021;75;3;Cardul Edenred Ticket Restaurant te scoate la masa”;Participantul trebuie s? efectueze, in perioada campaniei mentionata la art. 3.1 din prezentul Regulament, in Restaurante cel putin o tranzactie cu tichetele de masa pe suport electronic Edenred Ticket Restaurant®;Buy & send;Formular contact;37,250;"Edenred Cadou Card
incarcat cu 300 lei, Un sejur de 3 zile, pentru doua persoane (joi – duminica, masa inclusa) la pensiunea
Atra Doftana: ";Nu;Nu;Da;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
283;MTB;S.C. UNILEVER SOUTH CENTRAL EUROPE S.A.;MTB;„De azi ai verde la fapte bune”;09.07.2021;18.08.2021;41;2;„De azi ai verde la fapte bune”;cumpararea din oricare magazin din Romania, pe durata Campaniei, a oricaror doua produse ce apartin unor marci participante diferite;Buy & send;Formular contact;365.579,9;autoturism Fiat 500 Hybrid, trotineta electrica;Da;Nu;Da;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
284;Retail;VEKA Romania SRL;Veka;CLUBUL VEKANILOR;28.06.2021;26.07.2021;28;2;CLUBUL VEKANILOR;Sa raspunda corect intrebarilor chestionarului disponibil pe pagina;Social contest;;15590,46;casti Over the Ear Sony, o pereche ochelari Polaroid, o boxa portabila JBL, -un cort automat 2 persoane, Voucher E-mag;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
285;Food;NESTLÉ ROMANIA S.R.L;Nestle;„Adaug? iubire pentru un viitor mai bun”;01.07.2021;31.08.2021;62;2;„Adaug? iubire pentru un viitor mai bun”;Sa achizitioneze din Magazinele Participante, in perioada de desfasurare a Campaniei (conform Sectiunii 2 a prezentului Regulament), oricare Produse Participante Nestlé;Buy & send;Formular contact;256.858,26;"Autoturism Skoda
Octavia Hybrid, Voucher in valoare
de - 200 lei";Da;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
286;Food;NESTLÉ ROMANIA S.R.L.;Joe;„D? restart la prietenie ?i câ?tig? premii irezistibile”;04.04.2021;15.05.2021;40;2;„D? restart la prietenie ?i câ?tig? premii irezistibile”;sa achizitioneze din magazine, in perioada de desfasurare a Campaniei, Produse JOE in valoare totala de minimum 7.99 lei (inclusiv TVA) pe acelasi bon/document fiscal;Buy & send;Formular contact;188.172,88;iPhone 12PRO*, 10.000 Euro;Nu;Nu;Nu;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
287;Retail;SC. dm drogerie markt SRL;DM;„dm te trimite la mare sau la munte”;01.07.2021;30.07.2021;30;1;„dm te trimite la mare sau la munte”;s? achizi?ioneze produse în perioada 01.07. - 30.07. 2021 din oricare drogherie dm din România, în valoare de minimum 20 de le;Buy & send;Formular contact;39,402.40;Premii în bani ;Nu;Nu;Nu;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
288;Retail;MEGA IMAGE S.R.L.;Mega-Image;Bucurii de-o vara;22.07.2021;01.09.2021;40;2;Bucurii de-o vara;"Participantul trebuie sa achizitioneze, in Perioada Campaniei, orice produse
comercializate in reteaua de magazine Mega Image, Shop&Go sau online de pe megaimage.ro, si sa scaneze cardul de loialitate Connect* al carui titular este, la minimum o
tranzactie in Locatiile Participante;";Buy & send;Formular contact;27,289.36;"Voucher de vacanta in
valoare neta de 5.000 EUR
pentru o excursie in Turcia,
Cappadocia, Trotineta electrica Xiaomi
Mi Pro 2, Voucher cu scop multiplu
de cumparaturi megaimage.ro in valoare de 200
de lei";Nu;Da;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
289;Retail;LIDL DISCOUNT S.R.L;Lidl;“Castiga premii cu Orlando si Coshida”;28.06.2021;31.07.2021;35;2;“Castiga premii cu Orlando si Coshida”;Participantul trebuie sa achizitioneze in Perioada Campaniei produse din magazinele LIDL de pe teritoriul Romaniei (denumite in continuare “Magazine Participante”), cu exceptia acelor produse pentru care legislatia nu permite promovarea (ex: tutun, formula de inceput), in valoare totala, inregistrata pe un singur bon fiscal, de minimum 70 lei (saptezeci lei) cu TVA inclusa, dintre care minimum un Produs Participant, marca Orlando, Orlando Pure, Coshida si Coshida Pure.;Buy & send;Formular contact;9.091;"Set fotolii animal companie si stapan, Boluri ceramice, Vouchere LIDL
200 Lei";Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
290;Drinks;Coca-Cola HBC Romania SRL;Fuzetea;Castiga premii si timp liber pentru tine;12.07.2021;19.09.2021;67;3;Castiga premii si timp liber pentru tine;Achizi?ionarea a minim un produs Fuzetea;Buy & send;Formular contact;363.34;Card Cadou Emag, Aspirator robot sau purificator de aer, vacanta pentru toata familia;Nu;Da;Da;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
291;Health;SC TZMO ROMANIA SRL;Bella;“Cora te invita la o var? Bella”;21.07.2021;24.08.2021;33;2;“Cora te invita la o var? Bella”;"Participantul trebuie sa achizitioneze minimum un produs de igiena feminina Bella participant la Campanie dintre
cele enumerate ";Buy & send;Formular contact;3144.61;Televizor Samsung, Set produse de igiena feminina Bella ;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
292;Food;Star Foods E.M. S.R.L;Doritos;„Indrazneste si poti castiga!”;15.07.2021;31.08.2021;46;2;„Indrazneste si poti castiga!”;Participantii trebuie sa achizitioneze orice produs Doritos participant la Campanie;Buy & send;Formular contact;27.400;Trotineta Xiaomi, Voucher E-mag;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
293;Drinks;Heineken Romania S.A;Birra Moretti;“Birra Moretti x EC_Special”;27.07.2021;02.08.2021;5;2;“Birra Moretti x EC_Special”;D?-i tag prietenului/prietenei cu care vrei s? mergi la EC_Special 2021 Scrie-ne în comentarii ce i-ai ura înainte de a ciocni o Birra Moretti la castel!;Social contest;;6.048,00 ;6x Invitatii duble EC_Specia;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
294;Bank;Raiffeisen Bank S.A.;Mastercard;“Cu Zero Simplu, Raiffeisen Bank si Mastercard te trimit la Neversea Beach”;28.07.2021;22.08.2021;25;2;“Cu Zero Simplu, Raiffeisen Bank si Mastercard te trimit la Neversea Beach”;"deschid un cont curent de tip pachet ZERO Simplu la Raiffeisen Bank S.A. cu card debit
Mastercard in perioada campaniei, indiferent de canalul de achizitie – online sau in agentie, si activeaza cardul aferent pachetului de cont curent";Social contest;;60,169.07;"3 (trei) premii X 1 (una) experienta la plaja Neversea Beach din Constanta in valoare
unitara de 1163 euro +TVA, 3 (trei) premii X 1 (una) experienta la plaja Neversea Beach din Constanta in valoare
unitara de 2262 euro +TVA,";Nu;Da;Nu;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
295;Cleaning;LG Electronics Magyar Kereskedelmi Kft. Budapesta;LG;“Hainele tale merita un Uscator LG”;01.02.2021;31.12.2021;350;11;“Hainele tale merita un Uscator LG”;Sa achizitioneze cel putin un Produs Participant;Buy & send;Formular contact;195,580.50;"Cadou garantat* – LG Dryer
Stacking Kit DSTWH (Alb), Cadou garantat* – LG Dryer
Stacking Kit DSKSS (Silver)";Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Da;Nu;Nu;Nu;;
296;Food;Mondelez Romania S.A;TUC;„Distrac?ia începe ron??ind”;01.07.2021;31.07.2021;31;1;„Distrac?ia începe ron??ind”;S? achizi?ioneze 2 produse participante;Social contest;;43.576;Sistem audio JBL Bar 2.1 Deep Bass, Tableta Samsung Galaxy Tab A7 Lite, Voucher de vacanta, Bicicleta Pegas, Voucher Selgros, Voucher PROFI, Voucher Carrefour, Boxa JBL Go3;Nu;Da;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
297;Turism;TRAVEL BRANDS S.A;Dertour;“Câ?tig? Weekendul t?u la mare!”;26.07.2021;06.08.2021;10;2;“Câ?tig? Weekendul t?u la mare!”;Sa detina un cont activ si real de Facebook ? Sa fie fani ai paginii de Facebook Dertour https://www.facebook.com/Dertour.ro/ ? Sa dea Like la postarea ce va contine informatiile despre concurs ? Sa men?ioneze intr-un comentariu 1 prieten cu cine ar vrea s? î?i petreac? weekend-ul la mare (TAG 1 prieteni la postarea ce va contine informatiile despre concurs);Social contest;;1,838.74;"Premiul acordat este un sejur la Hotel Olimpic****/ Jupiter, : cazare in DBL (2 adul?i) cu AlI
Inclusive , 2 nopti (in intervalul 15.08-12.09.2021 ). Valoarea sejurului este de 314 Euro cu TVA
inclus.";Nu;Nu;Nu;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
298;Entertainment;Neversea Beach SRL;Neveresea;The Green Challenge x CEZ;15.07.2021;15.08.2021;30;2;The Green Challenge x CEZ;Pentru a participa la Campanie, Participantul trebuie s? se înscrie în sec?iunea special? din de pe site-ul Neversea Beach, ?i s? creeze o melodie utilizând suntele turbinelor eoliene;Social contest;;6000 ; 3 abonamente duble General Access pentru Neversea 2022 ?i 1 experien?a VIP în zona CEZ de pe plaja Neversea;Nu;Nu;Nu;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
299;Food;More Results Marketing S.R.L.;Tomi ;“Premii TOMI 1 2 3”;01.07.2021;31.08.2021;62;2;“Premii TOMI 1 2 3”;Participantii trebuie sa achizitioneze cel putin un produs participant mentionat la Sectiunea 6 si sa inregistreze codul unic format din 6 sau 8 caractere numerice descoperit pe produsele participante (tiparit direct pe capac/ pe spatele ambalajului), in perioada cuprinsa intre 01 iulie 2021 ora 00:00, ora Romaniei si 31 august 2021  ora 23:59:59, ora Romaniei;Buy & send;Formular contact;42.848;boxa JBL FLIP 5, trotineta electrica Xiaomi Mi Pro 2;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
300;Education;S.C. Herlitz România SRL;Herlitz;Al?turi de fiecare genera?ie!;01.07.2021;30.09.2021;91;3;Al?turi de fiecare genera?ie!;Încarc? aici în perioada 01.07.2021 – 30.09.2021 orice bon care demonstreaz? c? ai achizi?ionat un ghiozdan sau rucsac Herlitz sau Tiger, din orice magazin din România;Buy & send;Formular contact;66.970;Seturi de rechizite, Seturi de art?, Penare exhipate, I-Pad;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
301;Drinks;Societatea ALEXANDRION TRADING S.R.L;Kingsbury;“Cu Kingsbury te distrezi oricand!”;06.08.2021;05.09.2021;30;2;“Cu Kingsbury te distrezi oricand!”;Participantul trebuie sa achizitioneze in Perioada Campaniei minimum un Produs Participant;Buy & send;Bon fiscal+ Formular de contact;32.411;Box? portabil?, Camer? foto instant, Hamac, Telefone I-phone 12;Nu;Nu;Da;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
302;Drinks;P.P Distributors - România SRL;San Pellegrino;Savureaz? vara cu San Pellegrino si câ?tig?!;02.07.2021;22.08.2021;51;2;Savureaz? vara cu San Pellegrino si câ?tig?!;S? achizi?ioneze minim 2 produse participante ;Buy & send;Bon fiscal+ Formular de contact;52.000;1000 RON bani cash;Nu;Nu;Nu;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
303;Food;ETI European Food Industries S.A;Eti;“Indrazneste sa oferi copilului tau un viitor stralucit cu Dare si Wanted!”;12.08.2021;30.09.2021;48;2;“Indrazneste sa oferi copilului tau un viitor stralucit cu Dare si Wanted!”;Sa achizitioneze in perioada campaniei oricare produs participant, apartinand brandurilor Dare sau Wanted, in valoare cumulata de minimum 10 lei, in perioada Campaniei.;Buy & send;Formular contact;26.500;Pachete speciale de dezvoltare, Experiente unice, Pachete educatie financiara, Vouchere Kaufland in valoare de 300 de lei;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
304;Food;DIGITAL PLAN B SOLUTION S.R.L.;Pene? Curcanul;Redefinim pasiunea pentru gr?tar –;12.07.2021;12.09.2021;60;3;Redefinim pasiunea pentru gr?tar –;"Participantul va completa formularul de înscriere în concurs ( Câmpuri obligatorii: Nume ?i Prenume; Adres? de E-mail, Num?r bon fiscal – dovada cump?r?rii produsului/produselor din noua gam? pentru gr?tar ?i cuptor de la Pene? Curcanul )";Buy & send;Formular contact;93,933.84;Bani cash;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
305;Food;NESTLÉ ROMÂNIA S.R.L. ;Nestle;King of the jingle”;04.08.2021;15.09.2021;41;2;King of the jingle”;Sa achizitioneze minim un produs participant;Buy & send;Formular contact;37.723 ;Pick-up stereo AKAI ATT-11BTN, Disc vinil Gold Limited Edition LION King of the Jingle;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
306;Food;MULLER DAIRY RO S.R.L;Muller;Uber experiente cu gust;02.08.2021;29.08.2021;28;1;Uber experiente cu gust;Inscrierea la tombola se face automat prin completarea unui chestionar cu 3 intrebari din site-ul www.muller.com.ro/on-the-go si inscrierea numelui complet (nume si prenume), numarului de telefon si adresei de e-mail ale utilizatorului, în perioada 2.08.2021 – 29.08.2021.;Social contest;;785;o sesiune de fotografii cu Alexia Eram la Muzeul Simturilor, o sesiune de fotografii cu Alexia Eram la Muzeul Simturilor;Nu;Nu;Nu;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
307;Drinks;Angelli Spumante & Aperitive S.R.L;Mionetto; “ Tr?ie?te experien?a magic? Mionetto!”;15.06.2021;12.09.2021;87;4; “ Tr?ie?te experien?a magic? Mionetto!”;orice Participant care doreste sa se inscrie va trebui s? achizi?ioneze un produs Mionetto, s? p?streze bonul care dovede?te achizi?ionarea produsului ?i completeze formularul g?sit pe site-ul mionetto.ro. Participantul va trebui s? completeze toate câmpurile formularului, cu datele personale ?i num?rul bonului primit la achizi?ionarea produsului.;Buy & send;Formular contact;12.845;Mionetto Orange + Freixnet, Motocicleta Vespa;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
308;Drinks;BROWN FORMAN RO S.R.L.;Jack Daniels;“ MAKE IT COUNT!”;07.09.2021;27.10.2021;40;2;“ MAKE IT COUNT!”;Alege spiritul Jack caracteristic pentru destinatia cu  care  rezonezi cel mai puternic. Spune-ne in 160  de caractere - SAU un video de 15 secunde (pentru doua sanse in tragerea la sorti) - cum ti-ai dorit intotdeauna sa savurezi un pahar de Jack in functie de caracterul unic ales, completeaza datele personale si inscrie-te in campanie:;Social contest;;44.654;0 x Jack Daniel’s  Legacy Limited Edition Bottle 0,7L, 70 premii (cate 10 sticle Jack Daniel’s Legacy Limited Edition acordate saptamanal), Voucher de vacanta EPIC VISITS ;Nu;Nu;Da;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
309;Autoturism;Unix Auto SRL;Unix;“Câ?tiga?i împreun? cu service-ul dumneavoastr? cele dou? Mercedes-uri!”;01.09.2021;30.11.2021;91;3;“Câ?tiga?i împreun? cu service-ul dumneavoastr? cele dou? Mercedes-uri!”;Achizi?ioneze în perioada desf??ur?rii Concursului piese auto marca A.Z. Meisterteile ?i s? înregistreze codul;Buy & send;Formular contact;;2 vehicule marca MECEDES A 160, Ceas elegant, ceas sport, Umbrela compacta, curea din piele, Parfum barbati, termos, organizator de portbagaj, Prosop strand, uport telefon, sapca, tava magentica de scule, prosop, ceasca, perna centura de siguranta;Da;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
310;Drinks;Ursus Breweries;Ursus;Intra in clubul degustatorilor de specialitate si castiga;01.10.2021;30.11.2021;61;2;Intra in clubul degustatorilor de specialitate si castiga;Trebuie s? achizi?ioneze de minim 10 RON produse Ursus Specialitati;Buy & send;Formular contact;186,213.6;Mini Frigider, 4 sortimente de bere Ursus, 6 pahare Ursus, ;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
311;;Fenedur SA;Picatura;Picatura- Daca face POC, acum repari pe loc;14.10.2021;31.10.2021;16;1;Picatura- Daca face POC, acum repari pe loc;Sa detina cont real de Facebook si sa foloseasca hashtag-urile campaniei;Social contest;;566.97;Boxa Amazon;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
312;Food;Meda Prod 98 S.A.;Meda;"""Secretele gustului desavarsit iti aduc premii de top""";18/10/2021;14/11/2021;;;Secretele gustului desavarsit iti aduc premii de top;Sa achizitioneze in perioada campaniei oricare produs participant, apartinand brandului Meda, in valoare cumulata de minimum 10 lei, in perioada Campaniei.;Buy&send;Bon fiscal+ Formular de contact;47.439;112 premii zilnice-vouchere de cumparaturi in valoare de 200 lei,valabile in magazinele participante in campanie,16 premii saptamanale Gratar electric Tefal,4 premii mari-Iphone 12,64GB,5G;Nu;Nu;Nu;Da;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
313;Food;NESTLÉ ROMANIA S.R.L;Nescafe;“Bucura-te de premiile NESCAFÉ!”;15/09/2021;12/10/2021;;;“Bucura-te de premiile NESCAFÉ!”;"Sa achizitioneze din magazinele participante, in perioada de desfasurare a Campaniei, produse participante in valoare totala de minimum 10 lei pe acelasi bon/document fiscal;sa inregistreze tranzactia in sistemul REWE, prin scanarea la casa de marcat a cardului de
fidelitate PENNY valid";Buy;Bon fiscal;21.000;"30 de premii constant in suma in valoare de 200lei;3 premii constand in suma in valoare de 5000lei";Nu;Nu;Nu;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;Nu;Nu;;
314;Food; Rio Mare;Rio Mare;"""Castiga cu Rio!""";20/10/2021;02/11/2021;;;"""Castiga cu Rio!""";Achizitioneaza cel pu?in un produs RIO Mare, cu certificare MSC din magazinele Cora, înscrie num?rul bonului prin SMS ;Buy&send;Bon fiscal+ Formular de contact;;"o excursie in 2 cu ghid la cabana Muma Hut in Mugura Zimbrilor;5 cosuri produse Rio Mare+eco shopping bag in valoare de 500lei";Nu;Da;Nu;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
315;Drinks;Angelli Spumante & Aperitive S.R.L;Angelli;"""Lasa pasiunea sa conduca!Angelli te premiaza!""";01/11/2021;15/01/2022;;;"""Lasa pasiunea sa conduca!Angelli te premiaza!""";Achizitioneaza in perioada campaniei,orice produs Angelli,completeaza formularul de concurs,pastreaza bonul fiscal si poti castiga premii zilnic si premiul cel mare un Hyundai i20 rosu;Buy&send;Formular contact;62.856;Pachete Cuvee Imperial/Cherry/Elegance+2 pahare,marele premiu un Hyundai i20 rosu;Da;Nu;Nu;Da;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
316;Food;Kamis Condimente SRL;Kamis;"""Exploreaza o lume cu gust si castiga pofta de plimbare!""";01/11/2021;31/12/2021;;;Exploreaza o lume cu gust si castiga pofta de plimbare!;Achizitioneaza oricare doua produse Kamis si inscrie numarul & data bonului fiscal pe pagina de concurs kamis.ro impreuna cu datele tale de contact.;Buy&send;Formular contact;188.800,25;1 x ma?ina BMW X1, 6 x voucher de vacan?a in Romania de 3.000 lei;Da;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
317;Health;SERPICO TRADING S.R.L.;Siblou;"""Castiga cu Siblou!""";01/11/2021;15/12/2021;;;Castiga cu Siblou!;Achizitioneaza orice conserva de ton Siblou participanta la promotie si inscrie bonul fiscal,care autentifica achizitionarea produsului,completeaza formularul de concurs;Buy&send;Bon fiscal+formular de contact;                                   24655;"O vacanta cu familia ta la SPA in Austria;10 aparate de bauturi carbogazoase SodaStream Easy One Touch;30 de pachete de conserve de ton Siblou ";Nu;Da;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
318;Technology;ISTYLE RETAIL S.R.L;Istyle;"""Concurs Istyle family!""";25/10/2021;14/11/2021;;;Concurs Istyle family!;Inscrie-te la newsletter-ul iSTYLE in perioada campaniei si poti castiga un telefon Apple Iphone 13 Pro;Social contest;Formular contact;                                5699,01Un telefon Apple Iphone 13 pro;;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
319;Food;Roshen One SRL;Roshen;"""Exploreaza lumea cu premiile Lacmi!"" ";15/10/2021;18/11/2021;;;"""Exploreaza lumea cu premiile Lacmi! """;Achizitioneaza ciocolata Lacrimi de la Roshen in valoare de 10 lei,incarca bonul fiscal pe site-ul campanii-roshen.ro si castiga premii cool pentru a explora lumea;Buy&send;Bon fiscal+formular de contact;                             15641,54;"35xkit de toamna Lacrimi,compus dintr-un ghiozdan,o umbrela si doua pelerine de ploaie;5xcamere foto instant polaroid;1xscuter electric";Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
320;Food;HARMONY ADVERTISING S.R.L;Dr. Oetker;“Asta-i re?eta fericirii!”;11/10/2021;16/01/2022;;;“Asta-i re?eta fericirii!”;Achizitioneaza minimum 3 ingrediente pentru prajituri,pudding si decoratiuni Dr Oetker,inscrie nr si data bonului fiscal si poti castiga unul dintre premiile campaniei;Buy&send;Bon fiscal+formular de contact;                               214.248 ;"14xMixer Vertical;14xMulticooker;4xAspirator robot;4xExpressor automat;1 Autoturism Volkswagen Tiguan 4x4";Da;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
321;Food;Albalact SA;Zuzu Dolce;"""Placerea ta nevinovata iti aduce premii Dolce!""";27/09/2021;14/11/2021;;;Placerea ta nevinovata iti aduce premii Dolce!;Achizitioneaza minimum un produs Zuzu Dolce,inscrie nr bonului sau facturii fiscale completand formularul de concurs ,in perioada campaniei si poti castiga cele mai Dolce premii;Buy&send;Bon fiscal+formular de contact;                            32.336,60;"1x voucher excursie Maldive pentru doua persoane;5x fotoliu de gradina suspendat din ratan artificial Le Bonom Azuro;20x umidificator aromaterapie LED 300ml,ultrasunete+set 3 uleiuri aromatice cu efect relaxant";Nu;Da;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
322;Food;MULLER DAIRY RO S.R.L;Muller;"""Can you MOO?""";01/10/2021;30/11/2021;;;"""Can you MOO?""";Achizitioneaza minimum un produs Mullermilch ,incarca bonul fiscal si video-ul tau facand MOO si poti castiga premii fascinante;Buy&send;Bon fiscal+formular de contact;                                   10380;"2x telefon mobil Apple 11,64GB;8x set format din sosete,hanorac si boxa JBL";Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
323;Food;Albalact SA;Zuzu divin;"""Sarbatorile vin cu premii in stil divin!""";25.10.2021;30.11.2021;;;Sarbatorile vin cu premii in stil divin!;Achizitioneaza minimum un produs Zuzu Divin,inscrie-te in concurs folosind numarul bonului sau facturii fiscale,in perioada campaniei si poti castiga cele mai divine premii;Buy&send;Formular contact;34.739,11;"1x voucher excursie Cipru/Limassol;10x voucher brad Craciun pe strctura metalica cu decoratiuni;200x carte retete zuzu divin";Nu;Da;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
324;Food;Eti european food industries S.A.;Dare; “Dare iti indeplineste toate visele” ;20.10.2021;20.12.2021;;; “Dare iti indeplineste toate visele” ;Achizitionarea inclusiv online in perioada campaniei orice produs participant,apartinand brendului Dare,in valoare cumulata de 10 lei,pe acelasi bon fiscal.Pentru cumparaturile de la Mega Image poti castiga si un telefon Samsung Galaxy A21,apoi completeaza formularul de concurs si pastreaza bonul fiscal inscris pentru validarea premiilor;Buy&send;Formular contact;                                 104000;"60x card big prize in valoare de 600 lei fiecare;un card in valoare de 60.000;10x samsung galaxy A21";Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
325;Food;Danone;Cremosso;"""Gusta zilnic bucuria rasfatului Cremosso!""";06.10.2021;30.11.2021;;;"""Gusta zilnic bucuria rasfatului Cremosso!""";Achizitioneaza orice produc Cremosso de minimum 10 lei,inscrie bonul in formularul de pe site si poti castiga.;Buy&send;Formular contact;                            41.700,52;"3x sejur 1 saptamana la sunrise glamping retreat;24x videoproiectoare LED;56x camere foto instant Fujifilm mini 11";Nu;Da;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
326;Energie;Enel Energie Muntenia;Enel;"""Intrii fara datorii in noul an si castigi!""";01.11.2021;31.12.2021;;;Intrii fara datorii in noul an si castigi!';Clientii Enel Energie sau Enel Energie Muntenia trebuie sa achite cel putin una dintre facturile de energie electrica si/sau gaze naturale emise in perioada 01-15 noiembrie 2020 si/sau 01-15 decembrie 2020 si care la finalul anului figureaza in evidentele Organizatorilor cu sold mai mic sau egal cu 0;Pay;;                                 10,000;"20x tichete cadou Sodexo de tip ""cadou pass',fiecare tichet fiind in valoare de 500 lei";Nu;Nu;Nu;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;Nu;Nu;;
326;Food;SILVA EXCLUSN SRL;Dallmayr;",,I love Dallmayr""";01.11.2021;31.12.2021;;;",,I love Dallmayr""";Achizitioneaza unul din produsele incluse in promotie,din magazinele Hypermarket Auchan,Kaufland,Mega Image,Metro,Selgros,Cora,Profi sau Penny,completeaza formularul de inscriere ca sa intrii in cursa premiilor;Buy&send;Formular contact;                              4.565,96;"300x cesti aurii;1 autovehicul Fiat 500 Hybrid";Da;Nu;Nu;Da;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
327;Food;DR. OETKER RO S.R.L;Vitalis;“SAVUREAZA. EXPLOREAZA. TRAIESTE.”;01.09.2021;30.11.2021;;;“SAVUREAZA. EXPLOREAZA. TRAIESTE.”;Achizitioneaza orice cutie de musli Vitalis sau oricare 3 plicuri de musli Vitalis de o portie sau gustare de ovaz,inscrie pe site bonul fiscal si castiga premii gata de aventura;Buy&send;Formular contact;36583.69;"13x rucsac pentru expeditii;3x bicicleta electrica pentru adulti; 1x excursie cu rulota sau vacanta";Nu;Da;Nu;Nu;Da;Da;Nu;Da;Nu;Da;Nu;Nu;Nu;;
328;Food;DR. OETKER RO S.R.L;Strudel Moraritu;",,NCP Strudel Moraritu - Timp Impreuna""";20.09.2021;20.11.2021;;;",,NCP Strudel Moraritu - Timp Impreuna""";Achizitioneaza un strudel cu ambalaj promotional,cauta codul unic din interiorul pachetului,inscrie-l pe site si poti castiga premii pentru intreaga familie;Buy&send;Formular contact;91.456;"1x casuta din lemn sau contravaloarea in bani premiului;8x kit de familie;2x biciclete negre pentru adulti;1x scaun de bicicleta pentru copii";Nu;Nu;Nu;Da;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
